"obj","site1","site2","site3"
0.353038883199757,10,12,15
0.353038883199757,10,13,15
0.352958283633336,9,13,21
0.352934780875465,2,9,31
0.352929902287091,3,24,27
0.352929902287091,3,24,30
0.352858962097638,7,24,27
0.352858962097638,7,24,30
0.352797932994206,5,9,11
0.352797932994206,9,11,12
0.352770332632035,7,10,23
0.352661611460201,10,15,22
0.352650482609798,5,19,24
0.352636702711983,2,4,31
0.352605809172643,11,13,24
0.352599070485786,13,19,24
0.352599070485786,13,23,24
0.352584396267973,1,10,15
0.352574462977947,7,10,31
0.352572057222095,10,14,22
0.352568007591698,2,7,22
0.352568007591698,6,7,22
0.352568007591698,7,19,22
0.352568007591698,7,22,23
0.352559142392164,11,13,22
0.352529910574486,1,9,21
0.352496943271263,7,9,21
0.352496943271263,7,11,21
0.352496943271263,7,12,21
0.352472986557103,7,15,24
0.352426903977242,2,10,14
0.352410538402155,1,4,11
0.352410538402155,4,5,11
0.352410538402155,4,11,12
0.352329242893886,3,8,21
0.352329242893886,6,8,21
0.352329242893886,7,8,21
0.352304703882867,3,15,21
0.352295519268539,1,10,22
0.352286989724606,9,19,27
0.352274320570673,5,8,29
0.35227400590202,2,12,21
0.35227170167818,3,24,29
0.352260192678027,3,10,21
0.352260192678027,6,10,21
0.352243305024461,9,15,19
0.352242643552271,7,15,22
0.352229900394393,10,15,21
0.352221395065716,9,14,24
0.35220263083683,7,24,29
0.352170317405974,9,14,22
0.352154466715281,3,8,23
0.352154466715281,6,8,23
0.352154466715281,7,8,23
0.352149046718512,6,14,21
0.352112233606704,2,15,24
0.3521089064042,10,14,21
0.352090010502759,4,19,24
0.352083381784244,2,12,23
0.352063206157514,2,15,22
0.352049472552405,5,11,23
0.352049472552405,11,12,23
0.352049472552405,11,19,23
0.352040322231395,10,11,20
0.351936693847179,8,11,30
0.35190997884315,3,11,30
0.351888427475114,8,21,22
0.35186904308043,8,22,25
0.351866954119831,2,3,13
0.351866954119831,2,6,13
0.351866954119831,2,7,13
0.351866954119831,2,9,13
0.351852809384746,8,14,21
0.351822739434537,11,19,31
0.351698597417455,10,11,25
0.351640220185549,4,11,21
0.351624858805781,8,24,28
0.351590987797336,3,29,30
0.351589435840495,9,29,30
0.351583821395585,9,23,30
0.351557723955905,8,22,28
0.351479089832736,5,10,15
0.351444552179243,4,12,24
0.351436923925064,4,10,14
0.35142234741349,2,9,27
0.351407435679853,6,22,24
0.351387548059646,9,15,21
0.351348754228194,8,19,21
0.351348754228194,8,21,23
0.351341064316332,5,9,21
0.351341064316332,9,11,21
0.351341064316332,9,12,21
0.351341064316332,9,21,26
0.351341064316332,9,21,27
0.351341064316332,9,21,30
0.35132838035804,9,21,25
0.351316591806757,8,21,24
0.351304632027327,8,24,25
0.351257168652618,3,7,22
0.35118010803419,2,4,27
0.351158099337302,10,13,14
0.351155577282884,10,13,28
0.351153048076149,4,10,23
0.35109972734775,11,15,24
0.35105211373494,7,14,24
0.351038245149412,11,15,22
0.351035652305431,3,14,21
0.351010646099451,8,10,28
0.351005819098,9,21,28
0.350995680208929,11,23,31
0.350991863942215,9,20,22
0.350985765610057,7,14,22
0.350914087433081,11,21,22
0.350906995561304,11,22,25
0.350900979944944,3,15,19
0.350900979944944,6,15,19
0.350900979944944,7,15,19
0.350898061463684,13,19,22
0.350898061463684,13,22,23
0.350887997178496,4,10,31
0.350862432216358,2,14,24
0.350793606907463,2,14,22
0.350770275481462,2,10,22
0.350726321294315,8,9,29
0.350666340510948,11,24,28
0.350648085631075,1,8,21
0.350644313717542,10,13,31
0.350584756273196,11,22,28
0.35057211297316,6,24,31
0.350569043820429,8,15,19
0.350522485008508,9,21,31
0.350492628781419,9,20,24
0.350416394175815,11,13,21
0.350405250690304,13,19,21
0.350405250690304,13,21,23
0.350377302199345,9,21,29
0.350371109267197,2,4,13
0.350357425892178,11,21,24
0.35035738112459,11,24,25
0.350294649737691,10,12,14
0.350292923187973,3,13,23
0.350292923187973,6,13,23
0.350292923187973,7,13,23
0.350267095155933,5,6,21
0.350266606241097,9,23,27
0.350265781694609,7,15,21
0.350212720452051,5,10,21
0.3501921231045,4,6,27
0.350115149807623,6,19,30
0.350114174154505,3,22,24
0.350083808082258,2,15,21
0.350075517196441,6,17,24
0.35005928431305,2,3,22
0.35005928431305,2,6,22
0.35005928431305,3,6,22
0.35005928431305,3,19,22
0.35005928431305,3,22,23
0.35005928431305,6,19,22
0.35005928431305,6,22,23
0.35005928431305,6,22,27
0.35005928431305,6,22,30
0.350054207431148,7,22,24
0.350050085548763,9,14,21
0.350002916561669,6,17,22
0.349990971853391,1,8,23
0.349934826289074,10,13,23
0.349932890535257,3,19,30
0.349923689914134,4,13,19
0.349861988371507,8,10,26
0.349832195311926,1,12,24
0.349822091402564,1,5,11
